iter	Passed	Remaining
782	5741	1591
783	5749	1584
784	5757	1576
785	5764	1569
786	5771	1562
787	5778	1554
788	5786	1547
789	5793	1540
790	5801	1532
791	5809	1525
792	5815	1518
793	5822	1510
794	5829	1503
795	5836	1495
796	5842	1488
797	5849	1480
798	5855	1473
799	5863	1465
800	5870	1458
801	5877	1450
802	5884	1443
803	5890	1436
804	5896	1428
805	5903	1420
806	5910	1413
807	5916	1405
808	5923	1398
809	5929	1390
810	5936	1383
811	5944	1376
812	5950	1368
813	5957	1361
814	5964	1353
815	5971	1346
816	5978	1339
817	5985	1331
818	5991	1324
819	5998	1316
820	6005	1309
821	6012	1301
822	6019	1294
823	6026	1287
824	6033	1279
825	6040	1272
826	6047	1265
827	6053	1257
828	6061	1250
829	6067	1242
830	6074	1235
831	6081	1227
832	6087	1220
833	6094	1213
834	6101	1205
835	6108	1198
836	6114	1190
837	6121	1183
838	6127	1175
839	6134	1168
840	6140	1160
841	6147	1153
842	6154	1146
843	6161	1138
844	6168	1131
845	6174	1124
846	6181	1116
847	6188	1109
848	6195	1101
849	6202	1094
850	6208	1087
851	6214	1079
852	6220	1072
853	6227	1064
854	6234	1057
855	6241	1049
856	6247	1042
857	6254	1035
858	6261	1027
859	6268	1020
860	6275	1013
861	6282	1005
862	6289	998
863	6295	991
864	6302	983
865	6308	976
866	6315	968
867	6322	961
868	6328	954
869	6335	946
870	6341	939
871	6348	931
872	6355	924
873	6362	917
874	6368	909
875	6375	902
876	6381	895
877	6388	887
878	6394	880
879	6402	873
880	6408	865
881	6415	858
882	6421	850
883	6429	843
884	6436	836
885	6442	828
886	6449	821
887	6455	814
888	6462	806
889	6469	799
890	6476	792
891	6483	784
892	6490	777
893	6496	770
894	6504	763
895	6510	755
896	6517	748
897	6524	741
898	6530	733
899	6537	726
900	6544	719
901	6550	711
902	6556	704
903	6563	697
904	6570	689
905	6577	682
906	6584	675
907	6590	667
908	6597	660
909	6604	653
910	6611	645
911	6617	638
912	6624	631
913	6631	623
914	6637	616
915	6644	609
916	6651	602
917	6658	594
918	6665	587
919	6672	580
920	6679	572
921	6686	565
922	6693	558
923	6700	551
924	6706	543
925	6713	536
926	6720	529
927	6727	521
928	6733	514
929	6740	507
930	6747	500
931	6754	492
932	6760	485
933	6767	478
934	6774	470
935	6781	463
936	6787	456
937	6794	449
938	6801	441
939	6807	434
940	6814	427
941	6820	419
942	6826	412
943	6833	405
944	6839	398
945	6846	390
946	6853	383
947	6860	376
948	6866	369
949	6872	361
950	6879	354
951	6886	347
952	6893	339
953	6899	332
954	6906	325
955	6913	318
956	6920	310
957	6928	303
958	6935	296
959	6941	289
960	6948	281
961	6955	274
962	6961	267
963	6969	260
964	6976	253
965	6982	245
966	6989	238
967	6996	231
968	7002	224
969	7009	216
970	7016	209
971	7023	202
972	7030	195
973	7036	187
974	7044	180
975	7050	173
976	7058	166
977	7065	158
978	7071	151
979	7078	144
980	7084	137
981	7092	129
982	7098	122
983	7105	115
984	7111	108
985	7118	101
986	7125	93
987	7131	86
988	7138	79
989	7146	72
990	7153	64
991	7160	57
992	7167	50
993	7174	43
994	7181	36
995	7188	28
996	7195	21
997	7202	14
998	7209	7
999	7216	0
